ObjectID,Name of Store,Address,Phone Number,Hours of Operation,Does the store accept the following:,Food type,Does this store participate in the Campbell's Heart Smart program?,x,y,
1,27 Supermarket,"74 S 27th St, Camden, NJ  08105",(856) 246-1740, ,, ,,39.945341,-75.08556,
2,28 Food Market & Deli,"2800 Federal St, Camden, NJ  08105",(856) 757-0348, ,, , ,39.946414,-75.084134,
3,4th & York Mini Market,,,Closed,EBT,,No,39.95397849,-75.12004088, 
4,A & M Foodmarket,"3406 Federal St, Camden, NJ  08105",(856) 338-0108, , , , ,39.94749,-75.07405,
6,Adelita Deli Grocery,"3812 Myrtle Ave, Camden, NJ  08105",(856) 365-8555, , , , ,39.946806,-75.070231,
7,Agramonte Grocery,"601 N Front St, Camden, NJ  08102",(856) 963-1718,CLOSED,EBT,,No,39.95214448,-75.12464099, 
8,Aguilera Grocery Store,"1132 S 3rd St, Camden, NJ  08103",(856) 966-5627,Mon-Fri 7am-8pm,"EBT,SNAP,WIC","Vegetables,Tabacco,Fruits",No,39.93121474,-75.12376764, 
10,Alomonte Grocery,"1555 Mount Ephraim Ave, Camden, NJ  08104",(856) 963-0543, , , , ,39.926148,-75.106307,
11,AMCO International Mini Market,"3012 Mount Ephraim Ave, Camden, NJ  08104",(856) 833-1600, , , , ,39.906256,-75.096314,
13,Arelis Supermarket,"2220 River Ave, Camden, NJ  08105",(856) 365-0031,  , ,,,39.953255,-75.096258,
14,Arias Mini Market,"1177 Princess Ave, Camden, NJ  08103",(856) 964-0037,"M-S, Sun 8:00AM-8:00PM","SNAP,EBT,Food_Staps","Fruits,Tabacco,Vegetables,Frozen_food",No,39.93315359,-75.10320826, 
15,Azcona Mini Market,"1196 Yorkship Sq, Camden, NJ  08104",(856) 757-9566, , , , ,39.905548,-75.105731,
16,B & B Grocery Store,"698 Vine St, Camden, NJ 08102",,Mon-Fri 8am-9:45pm,"EBT,WIC","Fruits,Tabacco,Vegetables,Frozen_food",No,39.95148504,-75.11585299, 
17,B & J Grocery,"939 N 3rd St, Camden, NJ  08102",(856) 365-1225,"M-F 7:30 AM - 9:45PM, S 8:00AM-9:45PM, S 8:00AM-8:30PM","EBT,SNAP,Food_Staps,WIC","Fruits,Vegetables,Tabacco,Frozen_food",No,39.95526606,-75.12099811,
18,Bernard Grocery Store,"900 N 4th St, Camden, NJ  08102",(856)-338-0508,Mon-Sat 7am-10pm Sun 8am-9pm,"EBT,WIC","Fruits,Tabacco,Vegetables,Frozen_food",No,39.95424282,-75.11948464, 
19,Browning Foods LLC,"5000 N Crescent Blvd, Merchantville, NJ 08109",(856) 662-5959,Might be permanently closed, , , ,39.954739,-75.058418,
20,Browning Street Store,"1301 Browning St, Camden, NJ  08104",(856) 541-7515, , , , ,39.921966,-75.100861,
21,Camden Shell Food Mart,"1033 Kaighn Ave, Camden, NJ  08103",(856) 342-9836, , , , ,39.931596,-75.109535,
22,Center Food Market,"457 Royden St, Camden, NJ  08103",(856) 338-0030,M-S 7:00AM-9:00PM S 7:00AM-8:30PM,"EBT,SNAP,Food_Staps,WIC","Fruits,Tabacco,Vegetables,Frozen_food",No,39.93778115,-75.12148863, 
23,Coronado Food Center LLC,"1448 Haddon Ave, Camden, NJ  08103",(856) 541-6085, , , , ,39.929723,-75.098992,
24,Cousin's Supermarket,"200 Marlton Pike, Camden, NJ  08105",(856) 365-9230, , , , ,39.943654,-75.088502,
25,Cramer Hill Supermarket LLC,"3201 River Rd, Camden, NJ  08105",(856) 963-5801, , ,,,39.960161,-75.086305,
26,Daily Savings LLC Super Market,1301 Kaighn Ave,(856) 964-8826,M-S 8:00AM-9:00PM S 8:00AM-8:00PM,"EBT,SNAP,Food_Staps,WIC","Fruits,Tabacco,Vegetables,Frozen_food",No,39.93221142,-75.10262173,
28,Downtown Food Market,"462 Kaighn Ave, Camden, NJ  08103",(856) 614-0191,Mon- Fri 9am-7:30pm,EBT,Vegetables,No,39.930596,-75.119694,
29,Duran Grocery Store,"1100 S Broadway, Camden, NJ  08103",(856) 338-0505,Mon-Fri 6:30am-10pm,EBT,"Tabacco,Vegetables",No,39.93223222,-75.11927434, 
30,E And K Groceries,"777 Pine St, Camden, NJ  08103",(856) 361-7160, , , , ,39.936983,-75.113918,
31,Economic Grocery,"1427 S 10th St., Camden, NJ 08104",(856) 365-0903,"M-S 7:00AM-9:00PM, S 7:00AM-8:00PM","EBT,SNAP,Food_Staps,WIC","Fruits,Vegetables,Tabacco,Frozen_food",No,39.92927321,-75.10976111, 
32,Eight Five Six Market LLC,"2798 Benson St, Camden, NJ  08105",(856) 966-0333, , , , ,39.943659,-75.083893,
33,Erie St. Mini Market,"503 Erie St, Camden, NJ  08102",(856) 963-5444,Mon-Fri 7am-10pm Sat-Sun 8am-9pm,EBT,"Vegetables,Frozen_food,Fruits,Tabacco",No,39.954992,-75.117966,
34,Ernie's Market,"1500 Park Blvd, Camden, NJ  08103",(856) 338-1101,, , , ,39.936975,-75.101001,
37,Express Mini Market,"529 Monmouth St, Gloucester City, NJ  08030",(856) 456-0981, , , , ,39.89611,-75.119794,
38,F & S Food Market,"439 State St, Camden, NJ  08102",(856) 635-0252,Mon-Sat 6:30am-9pm Sunday open,"EBT,WIC","Vegetables,Fruits,Frozen_food,Tabacco",No,39.953046,-75.118889,
39,Family Food Center,"740 Morgan St, Camden, NJ  08104",(856) 541-1844, , , , ,39.912532,-75.113165,
40,Jordan Supermarket,"3205 Westfield Ave, Camden, NJ  08105",(856) 338-1630, , , , ,39.950854,-75.07833,
41,Fernandez Grocery,"1201 N 27Th St, Camden, NJ  08105",(856) 963-2515,CLOSED,EBT,,No,39.95804894,-75.09579575, 
42,Universal Supermarket,"2103 Federal St, Camden NJ 08105",(856)361-7489, , , , , , ,Supermarket
44,Franklin Grocery,"50 S Dudley St, Camden, NJ  08105",(856) 963-9022, , , , ,39.948555,-75.080128,It could be F & K Supermarket
45,Freddy Grocery Store,"276 S 27th St, Camden, NJ  08105",(856) 541-1488, , , , ,39.94265,-75.083508,
46,Fremont Stop & Shop,"306 Hillside Ave, Camden, NJ 08105",(856) 541-2920, , , , ,39.943269,-75.079396,
47,G N Supermarket,"2000 River Ave, Camden, NJ  08105",(856) 338-0313, , , , ,39.951751,-75.097711,
48,Garden Grocery Store,"2150 Berwick St, Camden, NJ  08105",(856) 966-4051, , , , ,39.944322,-75.092603,It could be Alex's Grocery Store
49,Genesis' Grocery Store,"1450 Louis St, Camden, NJ  08104",(856) 338-0531,Mon-Fri 8:30am-9pm,EBT,"Fruits,Vegetables,Frozen_food",No,39.92900783,-75.10445031, 
50,Elizabeth Grocery Store,"1501 Norris St, Camden, NJ  08104",(856) 963-9733, , , , ,39.927821,-75.101973,
51,Gomez Mini Market,"1714 S 10th St, Camden, NJ  08104",(856) 635-9422,"M-S 7:00AM-9:OOPM, S 7:00AM-7PM","EBT,SNAP,Food_Staps,WIC","Fruits,Tabacco,Vegetables,Frozen_food",No,39.92300801,-75.10870508, 
52,Goodies Market,"300 Market St, Gloucester City, NJ  08030",(856) 742-0103, , , , ,39.895706,-75.125735,It could be Tooties Deli & Market
54,Guatapanal Food Store,"740 State St, Camden, NJ  08102",(856) 225-9077,Monday-Saturday 7am-9:30pm,"EBT,SNAP,Food_Staps","Fruits,Vegetables,Tabacco",No,39.95184555,-75.11427029, 
56,Haddon Food Center II,"1600 Mount Ephraim Ave, Camden, NJ  08104",(856) 541-5977, , , , ,39.924847,-75.105029,
